Endpoints,Method,RequestApp,FilterResults,ResourceType,Permission
/v2/user/register,POST,None,False,None,create
/v2/user/login,GET,None,False,None,login
/v2/user/{user_id},PUT,None,False,None,edit
/v2/users,GET,None,False,None,read
/v2/user/{user_id},GET,None,False,None,view-profile
/v2/user/logout,GET,None,False,None,logout
/v2/user/role,PUT,None,False,None,edit-role
/v2/user/delete-identity,DELETE,None,False,None,delete/deactivate
/v2/contents,GET,Autographa,False,None,refer-for-translation
/v2/contents,GET,SanketMAST,False,None,refer-for-translation
/v2/contents,GET,Vachan-online or vachan-app,False,None,view-on-web
/v2/contents,GET,VachanAdmin,False,None,read-via-vachanadmin
/v2/contents,GET,VachanContentDashboard,False,None,read-via-vachancontentdashboard
/v2/contents,GET,API-user,False,None,read-via-api
/v2/contents,POST,None,False,None,create
/v2/contents,DELETE,None,False,None,delete/deactivate
/v2/languages,GET,Autographa,False,None,refer-for-translation
/v2/languages,GET,SanketMAST,False,None,refer-for-translation
/v2/languages,GET,Vachan-online or vachan-app,False,None,view-on-web
/v2/languages,GET,VachanAdmin,False,None,read-via-vachanadmin
/v2/languages,GET,VachanContentDashboard,False,None,read-via-vachancontentdashboard
/v2/languages,GET,API-user,False,None,read-via-api
/v2/languages,POST,None,False,None,create
/v2/languages,PUT,None,False,None,edit
/v2/languages,DELETE,None,False,None,delete/deactivate
/v2/licenses,GET,Autographa,False,None,refer-for-translation
/v2/licenses,GET,SanketMAST,False,None,refer-for-translation
/v2/licenses,GET,Vachan-online or vachan-app,False,None,view-on-web
/v2/licenses,GET,VachanAdmin,False,None,read-via-vachanadmin
/v2/licenses,GET,VachanContentDashboard,False,None,read-via-vachancontentdashboard
/v2/licenses,GET,API-user,False,None,read-via-api
/v2/licenses,POST,None,False,None,create
/v2/licenses,PUT,None,False,None,edit
/v2/licenses,DELETE,None,False,None,delete/deactivate
/v2/versions,GET,Autographa,False,None,refer-for-translation
/v2/versions,GET,SanketMAST,False,None,refer-for-translation
/v2/versions,GET,Vachan-online or vachan-app,False,None,view-on-web
/v2/versions,GET,VachanAdmin,False,None,read-via-vachanadmin
/v2/versions,GET,VachanContentDashboard,False,None,read-via-vachancontentdashboard
/v2/versions,GET,API-user,False,None,read-via-api
/v2/versions,POST,None,False,None,create
/v2/versions,PUT,None,False,None,edit
/v2/versions,DELETE,None,False,None,delete/deactivate
/v2/sources,GET,Autographa,True,None,refer-for-translation
/v2/sources,GET,SanketMAST,True,None,refer-for-translation
/v2/sources,GET,Vachan-online or vachan-app,True,None,view-on-web
/v2/sources,GET,VachanAdmin,True,None,read-via-vachanadmin
/v2/sources,GET,VachanContentDashboard,False,None,read-via-vachancontentdashboard
/v2/sources,GET,API-user,True,None,read-via-api
/v2/sources,POST,None,False,None,create
/v2/sources,PUT,None,False,None,edit
/v2/sources,DELETE,None,False,None,delete/deactivate
/v2/sources/get-sentence,GET,Autographa,False,"contents like bibles, commentaries, infographics, dictionary or videos",refer-for-translation
/v2/sources/get-sentence,GET,SanketMAST,False,"contents like bibles, commentaries, infographics, dictionary or videos",refer-for-translation
